^a$,7,
^aa,263,
^ab,9291,
^ac,13290,
^ad,5301,
^ae,363,
^af,21249,
^ag,4568,
^ah,3450,
^ai,3280,
^aj,1013,
^ak,915,
^al,35979,
^am,12732,
^an,43818,
^ao,227,
^ap,7100,
^aq,1095,
^ar,12471,
^as,32231,
^at,22739,
^au,14361,
^av,1422,
^aw,1971,
^ax,82,
^ay,1500,
^az,618,
^b$,7,
^ba,15402,
^bb,142,
^bc,27,
^bd,3,
^be,15239,
^bf,5,
^bg,27,
^bh,574,
^bi,3333,
^bj,146,
^bk,22,
^bl,2749,
^bm,168,
^bn,62,
^bo,11868,
^bp,3477,
^br,19869,
^bs,73,
^bt,40,
^bu,73235,
^bv,5,
^bw,12,
^by,3253,
^bz,1,
^ca,14780,
^cb,65,
^cc,95,
^cd,19,
^ce,2290,
^cf,37,
^cg,1005,
^ch,26387,
^ci,2426,
^cj,14,
^ck,24,
^cl,6138,
^cm,61,
^cn,146,
^co,17289,
^cp,29,
^cr,9500,
^cs,206,
^ct,34,
^cu,2468,
^cv,17,
^cw,17,
^cy,2073,
^cz,521,
^da,6465,
^db,101,
^dc,19,
^dd,33,
^de,19641,
^df,24,
^dg,3,
^dh,239,
^di,4508,
^dj,538,
^dk,4,
^dl,20,
^dm,142,
^dn,89,
^do,6079,
^dp,37,
^dq,6,
^dr,1900,
^ds,29,
^dt,9,
^du,7151,
^dv,20,
^dw,95,
^dy,117,
^dz,41,
^ea,7780,
^eb,175,
^ec,1792,
^ed,867,
^ee,10,
^ef,305,
^eg,1857,
^eh,19,
^ei,1794,
^ej,8,
^ek,32,
^el,3943,
^em,1659,
^en,6564,
^eo,55,
^ep,50,
^eq,206,
^er,1108,
^es,1526,
^et,1161,
^eu,11722,
^ev,8278,
^ew,13,
^ex,4393,
^ey,190,
^ez,52,
^fa,5311,
^fb,271,
^fc,162,
^fd,47,
^fe,5478,
^ff,34,
^fg,4,
^fh,31,
^fi,12087,
^fj,4,
^fk,27,
^fl,2384,
^fm,8,
^fn,12,
^fo,38717,
^fp,20,
^fq,1,
^fr,16393,
^fs,27,
^ft,13,
^fu,2240,
^fv,4,
^fw,6,
^fx,2,
^fy,6,
^fz,4,
^ga,5124,
^gb,865,
^gc,36,
^gd,134,
^ge,11795,
^gf,132,
^gg,24,
^gh,912,
^gi,3130,
^gj,7,
^gk,6,
^gl,1594,
^gm,924,
^gn,122,
^go,10331,
^gp,34,
^gr,9770,
^gs,101,
^gt,20,
^gu,3409,
^gv,13,
^gw,18,
^gy,172,
^ha,11093,
^hb,4,
^hc,3,
^hd,7,
^he,67389,
^hf,5,
^hg,9,
^hh,6,
^hi,12551,
^hj,12,
^hk,19,
^hl,25,
^hm,34,
^hn,13,
^ho,25495,
^hp,163,
^hq,10,
^hr,249,
^hs,272,
^ht,427,
^hu,6482,
^hw,91,
^hy,283,
^ia,8599,
^ib,2067,
^ic,5748,
^id,8340,
^ie,718,
^if,18831,
^ig,1212,
^ih,8727,
^ii,170,
^ij,1367,
^ik,2087,
^il,2225,
^im,10975,
^in,86307,
^io,427,
^ip,1095,
^iq,80,
^ir,13688,
^is,13375,
^it,100140,
^iu,585,
^iv,4459,
^iw,11014,
^iy,33,
^iz,49,
^ja,15698,
^jb,6,
^jc,15,
^jd,13,
^je,2318,
^jf,18,
^jg,9,
^jh,41,
^ji,722,
^jj,7,
^jk,17,
^jl,82,
^jm,23,
^jn,1,
^jo,6078,
^jp,124,
^jq,2,
^jr,80,
^js,39,
^jt,9,
^ju,6342,
^jv,8,
^jw,13,
^jy,34,
^jz,3,
^k$,1,
^ka,7563,
^kb,36,
^kc,75,
^kd,37,
^ke,3543,
^kf,24,
^kg,10,
^kh,1811,
^ki,3529,
^kj,38,
^kk,15,
^kl,413,
^km,63,
^kn,506,
^ko,2407,
^kp,29,
